"Ch 0 - Voltage_0_x","Ch 0 - Voltage_0_y"
0.5445,0.7373046875,
0.545,0.7568359375,
0.5455,0.8251953125,
0.546,0.869140625,
0.5465,0.78125,
0.547,0.5615234375,
0.5475,0.3173828125,
0.548,0.126953125,
0.5485,0.009765625,
0.549,-0.078125,
0.5495,-0.2001953125,
0.55,-0.3662109375,
0.5505,-0.5224609375,
0.551,-0.576171875,
0.5515,-0.4931640625,
0.552,-0.3466796875,
0.5525,-0.25390625,
0.553,-0.244140625,
0.5535,-0.2685546875,
0.554,-0.25390625,
0.5545,-0.1806640625,
0.555,-0.087890625,
0.5555,-0.05859375,
0.556,-0.1220703125,
0.5565,-0.234375,
0.557,-0.283203125,
0.5575,-0.205078125,
0.558,-0.0341796875,
0.5585,0.126953125,
0.559,0.2392578125,
0.5595,0.3271484375,
0.56,0.4443359375,
0.5605,0.634765625,
0.561,0.849609375,
0.5615,1.005859375,
0.562,1.020507812,
0.5625,0.9130859375,
0.563,0.771484375,
